titre,date_affichée,date_debut,date_fin,description,lieu_nom,lieu_adresse,image_url,event_link,genre
Illusions by Gianfranco,sam. 8 févr. - dim. 9 févr. 2025,2025-02-08T20:30:00+01:00,2025-02-09T14:30:00+01:00,"Bienvenue dans un monde d’ILLUSIONS! Envie de rêver, d’être émerveillé ? Vous avez frappé à la bonne porte, car c’est le défi que s’est lancé Gianfranco ! Il vous propose une magie jeune, dynamique et explosive !
Dans l’air du temps, ce spectacle unique en Suisse Romande dans lequel s’enchaînent humour, magie, poésie, chorégraphie et illusions avec justement ces « Grandes illusions » hautement visuelles, vous emportera aux frontières du réel dans un monde extraordinaire !
Mise en Scène, jeux de lumières, chorégraphies et illusions, dans ce show à ne pas manquer, Gianfranco vous emmènera dans son univers unique et original, rempli de rêve.
Un moment qui restera inoubliable!
 
Spectacle de 90 minutes + Entracte.
Âge conseillé : dès 6 ans
Disposition de salle avec gradins, bonne visibilité partout. ",Centre communal de Genthod,Centre communal de Genthod,https://etickets.storage5.infomaniak.com/events/thumbnail/0b80e108-feeb-4285-943b-03f81945aa3a.jpg?1732798826,https://infomaniak.events/fr-ch/theatre/illusions-by-gianfranco/6sqPfP2nzL0AFhz2MhOXxo1PlAYF,N/A
Qui veut la peau du magicien ?,dim. 9 févr. 2025,2025-02-09T16:00:00+01:00,2025-02-09T16:00:00+01:00,"Récrés-spectacles durée 1h20
Dès 6 ans
En partenariat avec le Service culturel Migros Genève",Salle communale d'Onex,Salle communale d'Onex,https://etickets.storage5.infomaniak.com/events/thumbnail/001b229b-a3bb-441d-9c7c-a521ee3ca951.jpg?1728654304,https://infomaniak.events/fr-ch/famille/qui-veut-la-peau-du-magicien/8LxPmGi2kUM6dKWsyTcf0d2AQHxR,N/A
Happy hour ! Deux humoristes pour le prix d'un.,mer. 13 nov. 2024 - jeu. 30 janv. 2025,2024-11-13T20:00:00+01:00,2025-01-30T20:00:00+01:00,"Deux humoristes pour le prix d'un !
Venez découvrir les univers en expansion d'Antoine et de Jean-Marc, deux humoristes romands dont la notoriété est proportionnelle au prix du billet.
 
Un journaliste et un physicien réunis pour une soirée placée sous le signe de ""On va bien s'marrer"".
 
Antoine et Jean-Marc pratiquent régulièrement l'humour sur scène (stand-up), à la radio (chroniques) et parfois même au travail.
 
Bonus de la soirée : la lumineuse Beatriz nous fera l'honneur de faire la première partie du spectacle.",Floky la loutre,Floky la loutre - Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/2a2a28bb-6d3f-442b-b4d9-2dbac20559dd.jpg?1728679500,https://infomaniak.events/fr-ch/humour-et-comedie/happy-hour-deux-humoristes-pour-le-prix-dun/8xQLEyshn3yA4KrcLqN7ol0zp67o,N/A
L'amante anglaise,jeu. 30 janv. - dim. 2 févr. 2025,2025-01-30T19:00:00+01:00,2025-02-02T17:00:00+01:00,"Un soir, Amélie Rabilloud fracasse le crâne de son mari avec un marteau. Elle démembre le cadavre et en jette chaque nuit un morceau du haut d’un viaduc dans des trains de marchandise. Marguerite Duras s’inspire de ce fait divers pour écrire L’Amante anglaise. Sous sa plume, la fiction tord le réel. Chez Duras, Claire Lannes assassine la cousine sourde et muette qui vit avec elle et son mari. Le couple englué dans un quotidien austère se flétrit de manière irréversible. Entre les quatre murs d’une maison trop propre, la présence sourde de l’autre devient insupportable et interroge la possibilité de meurtre en nous. Qui n’a jamais tué en pensée? Pourquoi Claire Lannes assassine-t-elle sa cousine plutôt que son mari encombrant? Un interrogateur tente de comprendre ce crime surprenant de brutalité. De sa confrontation, avec la suspecte naît une parole elliptique qui agit avec une précision presque clinique. Servie par une distribution exceptionnelle réunissant Nicolas Bouchaud, Laurent Poitreneaux et Dominique Reymond, la mise en scène d’Émilie Charriot saute dans le vide, laissant le champ libre à la sauvagerie, au mystère et à l’intime.",Maison Saint-Gervais,Maison Saint-Gervais - Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/3a57064a-130e-4d72-8cd1-0849be84c6b8.jpg?1732978830,https://infomaniak.events/fr-ch/theatre/lamante-anglaise/7gGYps4BhNS3tbDi0f3upF1Zsdh5,N/A
L'escamotage de Madame Irma,mer. 12 févr. - jeu. 13 févr. 2025,2025-02-12T20:00:00+01:00,2025-02-13T20:00:00+01:00,"Spectacle en création
Durée: 1h30
Dès 12 ans",Salle communale d'Onex,Salle communale d'Onex,https://etickets.storage5.infomaniak.com/events/thumbnail/d1cc37ef-c514-4908-9cd7-640170a0c13e.jpg?1732201226,https://infomaniak.events/fr-ch/theatre/lescamotage-de-madame-irma/5wujAQHDFVS6dKWsyTcf0d2AQDJF,Bientôt complet
"Job, le procès de Dieu",mar. 10 juin - sam. 14 juin 2025,2025-06-10T19:30:00+02:00,2025-06-14T19:30:00+02:00,"Un homme assis dans un tas de cendres, frappé de malheurs et de souffrances indicibles, dont il ne comprend ni la raison, ni le dessein. La succession des épreuves. L’arbitraire. Le désarroi face à la souffrance. L’impossible compassion. L’incapacité de ses amis à le consoler. Sans cesse réactivée par l’actualité, l’idée de la souffrance injuste trouve dans le Livre de Job le lieu par excellence de son déploiement. Partant de ce point d’ancrage, Michel Petrossian écrit et compose un drame musical où dialoguent trois univers – l’héritage baroque, la musique traditionnelle et la musique contemporaine – comme une chambre d’écho pour d’autres drames qui agitent le monde, ou secouent des existences personnelles.
 
 
DISTRIBUTION
Michel Petrossian, composition et livret
Anaïs de Courson, mise en scène et livret
Léo Margue, direction musicale
 
Ensemble Contrechamps
Chœur de chambre de Namur
Cappella Mediterranea
Feras Charestan, qanoun
 
 
Durée
1 heure 20 minutes, sans entracte
 
Coproduction La Cité Bleue Genève, Ensemble Contrechamps, Chœur de chambre de Namur, Cappella Mediterranea et Programme Musical de l’Aga Khan (AKMP).
 
 ",La Cité Bleue,La Cité Bleue - Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/87d68264-0f16-433b-aa8b-eabfedab5ce7.jpg?1729605624,https://infomaniak.events/fr-ch/musique-classique/job-le-proces-de-dieu/7fW2XtMYqywAFhz2MhOXxo1sAAHY,N/A
Click'n Drums // Le Rêve Bleu de Noël,dim. 22 déc.,2024-12-22T14:00:00+01:00,2024-12-22T14:00:00+01:00,"Et si vous fêtiez Noël dès le 22 décembre ?
Profitez d’une journée féérique et de Click’n Drums, un spectacle jubilatoire de percussions avec le Quatuor Beat, accompagné d’un gouter de Noël avant (ou après) le spectacle, le tout dans une Cité Bleue spécialement décorée pour l’occasion avec une installation immersive de Marie Maillard, vidéaste de renommée internationale : c’est le Rêve Bleu de Noël !
Magie de Noël garantie à vivre en famille de 3 à 99 ans !Le gouter de Noël commencera à 15h30, c’est à dire entre le 2 représentations de 14h et de 17h du spectacle Click’n Drums. Les bénéfices du gouter seront reversés aux initiatives pédagogiques de La Cité Bleue : ces programmes permettent aux plus jeunes de découvrir les joies des arts de la scène avec des rencontres artistiques, des spectacles participatifs, des répétitions ouvertes, et notamment La Récré Bleue, garderie créative conçue pour les plus jeunes, pendant que les grands profitent du spectacle. Votre soutien permettra ainsi à des enfants de faire leurs premiers pas dans une salle de spectacle.
Le Quatuor Beat est un groupe de percussionnistes de renom qui parcourt l’Europe. Avec humour et créativité, ils réinventent les chefs-d’oeuvre de Bach et Tchaïkovski dans un tourbillon de rythmes effrénés, poétiques et malicieux. Ce spectacle de percussions Click’n Drums promet donc d’être un moment jubilatoire à partager et à savourer, avec une rythmique musicale tour à tour entraînante, rêveuse ou cocasse. À l’aide d’accessoires multiples et de lumières synchronisées, le Quatuor Beat nous raconte en Click’n Drums une histoire sans paroles sur quatre étranges voyageurs. Qui sont-ils ? D’où viennent-ils ? Mystère... Pieds, mains, coudes, et bien sûr baguettes, ça claque, tape, et clappe à tout va !
Pour couronner le tout, la vidéaste renommée Marie Maillard transformera La Cité Bleue en un véritable écrin enchanteur. Habituée des plus grands musées comme le Metropolitan Museum of Art de New York ou le musée d’Art moderne de Paris, elle signera une installation immersive qui enveloppera chaque visiteur dans une ambiance magique.
Alors, revêtez vos plus belles tenues de fête et venez vivre une journée inoubliable sous le signe de la féérie de Noël !
_______________
Forfait famille à 100 CHF : places pour 2 adultes et 2 enfants de moins de 18 ans
Don libre à partir de 25 CHF au profit des actions pédagogiques dédiées au jeune public
 
DISTRIBUTION
Quatuor Beat, direction musicale, percussions et jeu
Pierre-Jean Carrus, mise en scène
Hélène Gustin, mise en scène, jeu théâtral et mouvements
 
Coproduction Philharmonie luxembourgeoise et Quatuor Beats
Remerciements à Bergerault, Sabian, Ville de Clichy, Les Trétaux de France et Luxembourg Philharmonie.
 
 ",La Cité Bleue,La Cité Bleue - Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/3cfecbd7-f5c5-408b-ae21-64a4746892fd.jpg?1733148024,https://infomaniak.events/fr-ch/theatre/clickn-drums-le-reve-bleu-de-noel/4fjPThmMkK23tbDi0f3upF1qylHl,N/A
Recluses Fest Working Class Heroes : PERKELE + GOBLINI + LES LUPOÏ,sam. 1 févr. 2025,2025-02-01T19:00:00+01:00,2025-02-01T19:00:00+01:00,"RECLUSES FEST « THE WORKING CLASS HEROES »
Date unique en Suisse !
Le Recluses Fest / Naska Prod présente cette soirée unique et internationale à Genève, avec PERKELE qui nous vient tout de droit de Göteborg en Suède et qui nous offre pour la première fois la chance de traverser nos frontières avec une exclusivité Suisse en bref une date unique ! Il en est de même pour GOBLINI qui eux se jetteront dans un avion en provenance de Serbie pour un simple aller-retour et une première en Suisse.
L’ouverture de cette soirée sera envoyée par LES LUPOï et se déroulera une fois encore dans la mythique salle de :
L’Alhambra à Genève, Rue de la Rôtisserie 10, 1204 Genève
 En tête d’affiche et en exclusivité Suisse et pour la première fois à Genève, avons-nous besoin de présenter PERKELE ?
Perkele a débuté en 1993 en tant que groupe de punk rock, depuis leur début ils sont influencé par différent styles de punk rock, de heavy metal, de musique folk et de musique progressive.
À la fin des années 90, Perkele a sorti son premier album et a depuis sorti des albums remplis de succès, ce qui a également amené le groupe à l'étranger.
Jusqu'à présent, ils ont tourné aux États-Unis, au Canada et en Europe avec un grand succès, et nous offrent la chance de venir et de se produire en exclusivité pour nous, pour vous.
Avec les mélodies, les paroles positives, l'amour et l'énergie, Perkele crée l'atmosphère la plus fantastique en direct avec le public. C’est quelque chose qu’il faut expérimenter. Donc si tu attendais une opportunité pour enfin les voir ce moment est arrivé !
PERKELE Heart Full Of Pride (official video)
https://youtu.be/_6cXLTCwxPw?si=S1vSfaUcUqzbxwPX
 
GOBLINI, En exclusivité Suisse et pour la première fois à Genève le groupe punk rock de référence en Serbie, actif depuis début 1990, a très rapidement su se faire une place en or, au cours de leur carrière, ils ont donné plus de 350 concerts et ont été dans les années 90 l'un des groupes de punk rock les plus importants de la région avec des chanson tel que ""Aanja, Volim Te"" ou encore l’hyme ""Ima Nas"" on comprend vite que ils ne sont pas là pour rigoler.
Goblini a donné un dernier concert le 7 juin 2001 à Zagreb.
Après presque une décennie d'interruption, Goblini a repris la route de la scène et des studios à la fin du printemps 2010.
Cet été-là, le groupe sort le CD single ""Crno na belo"" avec des morceaux comme «Luna"" et ""Kao da..."" (produit conjointement par le SKC Novi Sad et le festival d'été Šabac). La sortie du single est accompagnée d'un clip pour la chanson ""Luna"", ainsi que d'un film documentaire sur le groupe produit par RTV.
Goblini a donné un énorme concert promotionnel le 8 mars au Palais des Sports de la Nouvelle Belgrade, devant plus de 4 000 fans.
GOBLINI Ima Nas
https://youtu.be/65rAi_2x3ts?si=Du5ALtGWjLKPzjXZ
 
LES LUPOÏ, ouvrirons les festivités de cette soirée avec un nouveau line up.
Lupoï ! plus streetpunk que jamais, influence ska, en passant par le hardcore pour finir sur la Oï ! Le groupe a su évoluer musicalement au fur et à mesure des années, avec un son plus puissant, plus percutant ! Composé de Seb et Guinness, formation initiale, rejoint par la suite par Guillaume à la guitare et Denis à la basse. 
 
Le groupe existe depuis 2007, 2 albums à son actif, quelques titres sur des compiles ainsi que quelques clips vidéo. Leur dernier album, A.C.H, dispo chez quelques bons disquaires ainsi que sur la boutique en ligne de Tapage Rock, a été entièrement enregistré au studio Tapage à Epervans en 2023. 
LES LUPOÏ Aujourd’hui comme hier
https://youtu.be/zPlxU8m6ViU?si=8777XeogzTbC0G3H
 
INFOS PRATIQUES :
 
Portes : 18h15 
Prélocs : 28.-/ sur place 32.-
-De 12 ans accompagnés :gratuit
Billetterie : https://www.reclusesfest.ch/
 Parking Saint-Antoine, 1.- pour 4h, 2.- pour 8h, le soir dès 19h et le weekend.  Tram 14 arrêt Bel-Air et 5 minutes à pied.
Ouverture des portes 18h15 début des concert 19h.
Attention réservations conseillées. Pas de relou, de signes, ni de comportement fascistes ou sexistes.",Alhambra Genève,Alhambra Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/cd82ac16-2a41-4af8-ac0a-13f2e60b98f5.jpg?1731969900,https://infomaniak.events/fr-ch/concerts/recluses-fest-working-class-heroes-perkele-goblini-les-lupoi/9uSLvNt53Ks3tbDi0f3upF2EkOyX,N/A
LE GRAND JEU - 20 ANS,sam. 11 janv. 2025,2025-01-11T20:00:00+01:00,2025-01-11T20:00:00+01:00," Pour fêter cet anniversaire comme il se doit nous n'aurons pas moins de 12 comédien·nes sur scène pour une Grand Jeu exceptionnel !!!
12 comédien·nes, une douzaine d’impros et des défis à en perdre la tête.
Le concept est simple: le public donne des thèmes, nos comédien·nes tentent de les traiter tour à tour, puis le maître du jeu tranche, de manière intransigeante, selon ses critères – parfois douteux – et bien souvent selon son humeur.
Le suspens est insoutenable car tout peut basculer jusqu’à la dernière minute. C’est injuste mais on se délecte !
De la singularité toujours, de la folie certainement, du talent évidemment !
 ",Casino théâtre,Casino théâtre - Genève ,https://etickets.storage5.infomaniak.com/events/thumbnail/6f0a0865-0130-4a61-a2a9-90d4a8e33586.jpg?1731922256,https://infomaniak.events/fr-ch/humour-et-comedie/le-grand-jeu-20-ans/7kjbXsfgCeY5cAGhmH6f3v1eh4PZ,N/A
"Camille Giry ""Moyenne""",ven. 20 déc. - sam. 21 déc.,2024-12-20T19:00:00+01:00,2024-12-21T19:00:00+01:00,"Un jour, être féministe ce sera la norme. En attendant, on fait des spectacles.
 
En parallèle de son duo Camille & Justine, qui cartonne sur les réseaux sociaux, Camille se lance en solo, dans un one woman show qui compte bien vous donner envie de dégommer le patriarcat, entre deux éclats de rire.",Caustic Comedy Club,Caustic Comedy Club - Carouge,https://etickets.storage5.infomaniak.com/events/thumbnail/64c0248e-c669-4d02-b324-6027359492a3.jpg?1732989881,https://infomaniak.events/fr-ch/humour-et-comedie/camille-giry-moyenne/9OcUlwKtGKY6dKWsyTcf0d1C7cE8,Bientôt complet
Calpini Truffaz Agabekov | Festival Immersif,ven. 13 déc.,2024-12-13T20:30:00+01:00,2024-12-13T20:30:00+01:00,"Les jeudi 12 et vendredi 13 décembre 2024, le tout jeune Centre des Musiques Actuelles de Genève organise son FESTIVAL IMMERSIF, un événement unique qui se tiendra dansl’Auditorium Ansermet, en plein cœur de la ville. Depuis un peu plus d’un an, le Centre met ses infrastructures modernisées et ses équipements technologiques de pointe au service de performances qui allient créativité musicale et innovations techniques. Le mythique studio Ansermet, lieu d’enregistrements prestigieux, est désormais une imposante salle de concert pouvant accueillir 300 spectateurs. Paré de panneaux absorbants pivotants, qui lui permettent d’accueillir les musiques tant acoustiques qu’amplifiées, et d’un système de sonorisation immersive composé de 64 enceintes réparties tout autour du public, le nouvel Auditorium Ansermet est l’écrin sonore idéal pour deux concerts mémorables à ne manquer sous aucun prétexte !
 
Le vendredi 13 décembre, la soirée sera dédiée à une performance collaborative inédite entre Christophe Calpini, Erik Truffaz et Ladislav Agabekov, spécialement conçue pour l'Auditorium Ansermet. Cette rencontre entre le batteur, le trompettiste et l’ingénieur du son donne naissance à un projet hybride captivant, alliant jazz, électroacoustique et musique amplifiée. 
Christophe Calpini, figure pionnière de la musique électronique, déploie une palette de sons hypnotiques, mêlant textures et rythmes, pour créer un paysage sonore magnétique. Erik Truffaz, éminent trompettiste de jazz, tisse sur cette toile de sublimes et envoûtantes improvisations. Matières électroniques et acoustiques se rejoignent dans une symbiose délectable. L'immersion sera totale grâce au système D&B Soundscape et à l'expertise de l'ingénieur du son Ladislav Agabekov, qui apporte sa contribution technique et artistique au projet. Chaque note, chaque souffle, chaque vibration enveloppera le public, le plaçant au cœur de la création.
Assis en cercle autour des artistes, le public sera immergé dans le son : une plongée sensorielle inédite fusionnant improvisation et électronique, sublimée par la magie de la Salle Ansermet.
Christophe Calpini ｜drum pads, samplesErik Truffaz ｜ trompette, effetsLad Agabekov｜création sonore",Auditorium Ansermet,Auditorium Ansermet - Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/387d5574-65ab-4873-85ce-4b363d264b91.jpg?1732624228,https://infomaniak.events/fr-ch/concerts/calpini-truffaz-agabekov-festival-immersif/9jLsAHK3njG3tbDi0f3upF1XikSc,N/A
"Karim Duval ""Entropie""",ven. 14 févr. 2025,2025-02-14T20:30:00+01:00,2025-02-14T20:30:00+01:00,"Caustic Prod en accord avec Encore un Tour, présente:
KARIM DUVAL
 

« Vous avez dit “Entropie” ?
L’entropie, c’est une mesure du désordre, de l’agitation, de l’énergie que l’on dissipe, tous les jours, naturellement… ou volontairement, en s’énervant au volant d’une voiture, en passant des heures sur nos écrans, en s’extasiant béatement sur des objets, des sports, des plats (pardon : des expériences !) toujours plus innovants ; en courant après le temps pour une vie optimale… C’est un fait : on crée de l’entropie. Et vu de l’extérieur, ça donne envie d’en faire un truc drôle !
Après le succès de “Y”, Karim Duval affirme ici ce style qui a trouvé son public, privilégiant toujours le fond : écologie, éducation, travail, intelligence artificielle, technologie… Tout y passe, à travers une écriture ciselée ponctuée de personnages, des plus lisses aux plus fous : ce spectacle changera votre vision du pop corn. Et des huîtres. Et de la tisane. » 

 ",Casino Théâtre,Casino Théâtre - Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/e43a6649-01a3-432f-af68-9ea92a8dd8e9.jpg?1732989914,https://infomaniak.events/fr-ch/humour-et-comedie/karim-duval-entropie/8bg4e2yG3Xu6dKWsyTcf0d1xqgFl,N/A
Dans ton intérieur,mer. 22 janv. - sam. 25 janv. 2025,2025-01-22T19:00:00+01:00,2025-01-25T20:30:00+01:00,"Dans la continuité de sa précédente pièce Le Souper (accueillie en 2021), Julia Perazzini part en quête d’un autre membre fantôme de sa famille: son grand-père italien dont elle porte le nom et qu’elle n’a jamais connu. S’ouvre alors un troublant voyage en dialogue avec les personnes rencontrées durant cette enquête et les disparu·es à qui elle redonne vie. 
Un jour, la grand-mère de Julia Perazzini décide de couper les liens avec son mari sans explication apparente. Comme si elle le faisait disparaître. À moins que ce ne soit l’inverse… Les souvenirs, les traces et les secrets que cette aïeule a laissés derrière elle après son décès accompagnent l’artiste dans sa recherche. Celle-ci décide alors de se mettre dans la peau de ses grands-parents et engage une investigation protéiforme, avec détective privé et séances d’hypnose. Explorant avec ingéniosité différents types d’existences, elle tisse une toile d’araignée pour peu à peu, donner corps à son propre nom. ",Maison Saint-Gervais,Maison Saint-Gervais - Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/0b3c9737-54f9-4c06-956e-b02d26ed88de.jpg?1732978830,https://infomaniak.events/fr-ch/theatre/dans-ton-interieur/5s2pL67S3m65cAGhmH6f3v1ZtUda,N/A
GASPARD SOMMER + MARZELLA + SAM SAUVAGE + ÉMILE BOURGAULT,jeu. 20 mars 2025,2025-03-20T19:00:00+01:00,2025-03-20T19:00:00+01:00,"CONFIGURATION
- Ce concert est prévu debout, à l'exception de quelques places
- Concert accessible dès 16 ans, accompagné d'une personne majeure.
INFOS GÉNÉRALES
- Retrouver toutes les informations billetteries détaillées (détails justificatifs, tarifs, ...) sur notre page ICI",Chat Noir,Chat Noir - Carouge,https://etickets.storage5.infomaniak.com/events/thumbnail/b85d9927-eda5-4837-80b9-ca6d1ce7840b.jpg?1733219108,https://infomaniak.events/fr-ch/concerts/gaspard-sommer-marzella-sam-sauvage-emile-bourgault/4PJ1gFNTqmg9YgS9hByBov1ULWaM,N/A
Alex Vizorek,jeu. 9 janv. 2025,2025-01-09T20:00:00+01:00,2025-01-09T20:00:00+01:00,"Alex Vizorek « AD VITAM » 
Bruxellois d’origine, il est révélé en 2010 par le Festival du Rire de Montreux avec son premier spectacle « Alex Vizorek est une œuvre d’art » et remporte de nombreux prix et distinctions.
Avec ce nouveau spectacle « AD VITAM » , il nous propose d’explorer le sujet de… la mort ! Partant du postulat que ça peut concerner pas mal de gens. Il s'appuie sur la philosophie, la biologie, la culture et sans oublier l’orgasme, appelé aussi la petite mort…
Mais avant tout, Alex Vizorek nous offre un spectacle sur la VIE, avec l’humour profondément drôle et intelligent qui le caractérise et la promesse d’un spectacle dont on ressort grandi !",Casino Théâtre,Casino Théâtre - Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/ff96e2f6-17f1-472d-84db-cddbbd4d9621.jpg?1731921987,https://infomaniak.events/fr-ch/humour-et-comedie/alex-vizorek/8X6Fxa2uKmo8c5jhdut4910uAQaK,N/A
Fitness,jeu. 9 janv. - dim. 19 janv. 2025,2025-01-09T19:00:00+01:00,2025-01-19T17:00:00+01:00,"Jamais la course au dépassement de soi n’a autant obsédé. Le virus nous a coupé les jambes en même temps que le souffle, nous contraignant au cocooning mondialisé. Après l’inertie générale, une irrépressible envie de courir au fitness a transformé le squatt de canapé en squats endiablés. Travail, santé, performances sportives, amours et amitiés, toute réussite semble dépendre de notre capacité personnelle à nous motiver. Paradoxe humain, quand tu nous tiens…. Au sein de ce microcosme germent des mouvements de masse, work out et chorégraphies collectives qui nous agitent à l’unisson. Fitness propose un step de côté, qui suffit à faire se percuter deux univers bien distincts : la salle de sport et la salle de spectacle. Entre culte du corps et culture, vestiaire et loges, les langues de trois personnages confidents se délient alors que les corps se démènent. Un spectacle tonifiant pour réfléchir notre époque sans fléchir.",Maison Saint-Gervais,Maison Saint-Gervais - Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/a4425ec9-8050-4d62-8150-7f255e10c31c.jpg?1733160625,https://infomaniak.events/fr-ch/theatre/fitness/APFUTiin1Pu8c5jhdut4911a83pK,N/A
"Adel Fugazi ""Pause""",sam. 8 mars 2025,2025-03-08T20:30:00+01:00,2025-03-08T20:30:00+01:00,"Dans ce spectacle mêlant absurde et originalité, Adel vous offre une pause. Une pause à tout ce brouhaha extérieur.
 
En abordant des sujets légers et universels. Il nous apporte un point de vue nouveau, un peu à contre courant de la tendance actuelle. Et ça fait du bien !Cette année, après avoir fait ses preuves au Festival de Montreux, il intègre la Troupe du Jamel Comedy Club et sort grand gagnant du Festival d'Humour de Paris !Adel est prêt à vous accueillir dans son univers. Mais vous, êtes vous prêt à y entrer ? ",Théâtre les Salons,Théâtre les Salons - Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/0cf45717-39a7-465a-ab95-cb352cb22373.jpg?1732989915,https://infomaniak.events/fr-ch/humour-et-comedie/adel-fugazi-pause/7FCH0CQIxHe5cAGhmH6f3v1bFLsP,Caustic Prod
"TREMPLIN LA LENTILLE (LOU MEY, ALBERT CHINET, FLOREM., JIODY, LOUV, MARIUS MICOL)",dim. 23 mars 2025,2025-03-23T14:00:00+01:00,2025-03-23T14:00:00+01:00,"CONFIGURATION
- Ce concert est prévu debout.
 
INFOS GÉNÉRALES
- Retrouver toutes les informations billetteries détaillées (détails justificatifs, tarifs, ...) sur notre page ICI",CENTRE DES MUSIQUES ACTUELLES - LE CHAUDRON,CENTRE DES MUSIQUES ACTUELLES - LE CHAUDRON - Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/67f4def8-5b5b-4822-8f7e-e248c7d19ed7.jpg?1732821308,https://infomaniak.events/fr-ch/concerts/tremplin-la-lentille-lou-mey-albert-chinet-florem-jiody-louv-marius-micol/92LyiqOwwsM6d3vUdy2qqt1VPBcI,N/A
"Swann Périssé ""Calme""",sam. 24 mai 2025,2025-05-24T20:00:00+02:00,2025-05-24T20:00:00+02:00,"Caustic Prod en accord avec Fourchette Suisse Production, présente:
Swann Périssé, depuis toute petite, n’a jamais été calme. Elle pensait que la sérénité arriverait avec l’âge, mais à 30 ans, elle a dû reconnaître qu’elle a des problèmes de colère. Au début, elle croyait qu’elle était toute seule. Elle a ensuite demandé aux gens autour d’elle leurs techniques pour gérer leur colère. Les réponses étaient tellement inquiétantes, qu’elle s’est dit qu’il fallait en faire un spectacle.
 
C’est là qu’elle a réalisé que chez les femmes, la colère est associée à la folie. 
 
Calme, c’est un spectacle hilarant de stand-up qui parle de colère, de randonnée, de sexe, de sextoys, de consentement, de haters, de lavement, de justice, d’écologie, et surtout d’indignation.
 
Swann Périssé est la présentatrice du talk show Y’a plus de Saisons, et elle produit depuis plus de 10 ans des contenus drôles, écolo, et féministes, sur ses chaînes Youtube et pages insta, qui cumulent plus d’un million d’abonnés. Elle remonte sur scène depuis janvier 2023.",BFM (Bâtiment des Forces Motrices),BFM (Bâtiment des Forces Motrices) - Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/2c3f9570-9bce-4848-b7e4-45382d8ff2f2.jpg?1732989914,https://infomaniak.events/fr-ch/humour-et-comedie/swann-perisse-calme/6dFJhklA6Ko8c5jhdut4911UUqiX,N/A
Bastian Baker,mer. 29 janv. 2025,2025-01-29T20:00:00+01:00,2025-01-29T20:00:00+01:00,"Solo acoustique
Durée: 2h00",Salle communale d'Onex,Salle communale d'Onex,https://etickets.storage5.infomaniak.com/events/thumbnail/ba5dccb3-e8b6-43e2-917c-36fef5d75be0.jpg?1724162420,https://infomaniak.events/fr-ch/concerts/bastian-baker/7aiRltiwwXC5cAGhmH6f3v2AHgmu,Bientôt complet
Tzusamen,sam. 15 mars - dim. 16 mars 2025,2025-03-15T19:30:00+01:00,2025-03-16T17:00:00+01:00,"Issus des grands orchestres parisiens, les musiciens qui composent le Sirba Octet ont fait le pari de se poser à mi-chemin entre la musique classique et la musique traditionnelle d’Europe de l’Est.
Avec « Tzusamen », ils rendent ici hommage à trois peuples victimes de génocides – Roms, Juifs et Arméniens – dont les chemins d’exil se tracent et s’entrecroisent à travers l’Europe, et qui portent avec eux leur culture et leur langue, leur musique et leurs chants. Un voyage au pays des musiques traditionnelles et populaires yiddish, arméniennes et tsiganes qui rayonnent de couleurs nostalgiques et festives.
Les arrangements de Cyrille Lehn, tels une dentelle dont on savoure chaque ligne, sont magnifiquement servis par des musiciens qui donnent à ces mélodies toutes leurs lettres de noblesse.
 
 
DISTRIBUTION
Sirba Octet
Chœur de la Maîtrise du Conservatoire Populaire de Musique, Danse et Théâtre de Genève
 
DURÉE
1 heure et 30 minutes, sans entracte
 ",La Cité Bleue,La Cité Bleue - Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/5f5c2e08-3de5-478d-813d-ad0cb9514e00.jpg?1732552228,https://infomaniak.events/fr-ch/concerts/tzusamen/AUT1DeV322c3tbDi0f3upF1r98kV,N/A
Atelier-conférence avec Defne Erdur et Emma Bigé,Dans 5 jours,2024-12-09T15:00:00+01:00,2024-12-09T15:00:00+01:00,"Atelier-conférence Zones de contact avec Defne Erdur et Emma Bigé— de 15h à 18h— ouvert à touxtes— place limitée, sur réservation",Studio de l'ADC - Maison des arts du Grütli,Studio de l'ADC - Maison des arts du Grütli - Genève,https://etickets.storage5.infomaniak.com/events/thumbnail/cf7c1f16-0fe2-41bd-8ee2-4a9747ab896f.jpg?1733227225,https://infomaniak.events/fr-ch/conferences/atelier-conference-avec-defne-erdur-et-emma-bige/8rLtPYRPCmA8c5jhdut491125Ljn,Dernière chance
